iter	Logloss
0	0.6892339889
1	0.6851759197
2	0.6816024643
3	0.6773677016
4	0.6730597125
5	0.6692470207
6	0.6664850389
7	0.6627883937
8	0.6583315024
9	0.6541455976
10	0.6504143696
11	0.6470874901
12	0.6450902712
13	0.6404563585
14	0.6368645304
15	0.6328859387
16	0.6293513983
17	0.6255110197
18	0.6232179831
19	0.6204349445
20	0.616911584
21	0.6133577845
22	0.6103246668
23	0.6066863166
24	0.6027941454
25	0.5997926275
26	0.5968682435
27	0.5931080557
28	0.5904285794
29	0.5874443841
30	0.5842421094
31	0.5810785306
32	0.5783504175
33	0.5753615339
34	0.5721635072
35	0.5690451907
36	0.5662172021
37	0.5633686921
38	0.5605787326
39	0.5580143932
40	0.5548531112
41	0.5514639609
42	0.5494707555
43	0.5466976211
44	0.5434776959
45	0.5406365229
46	0.5386076564
47	0.5363488564
48	0.533833968
49	0.5316500089
50	0.5285698654
51	0.5268165816
52	0.5245785465
53	0.5216245605
54	0.5194831082
55	0.5168784171
56	0.5147257736
57	0.5120477498
58	0.5096999681
59	0.5073523525
60	0.5045712145
61	0.5023489596
62	0.5002726386
63	0.4984974758
64	0.4965722144
65	0.4944429115
66	0.4921868123
67	0.4901705666
68	0.4880206149
69	0.4866868589
70	0.484202687
71	0.4820627896
72	0.4803513874
73	0.4793110103
74	0.4779348828
75	0.4757095953
76	0.4741622661
77	0.4724488941
78	0.4704734629
79	0.4687870981
80	0.4671725694
81	0.4654363036
82	0.4638575059
83	0.4617589779
84	0.4604703211
85	0.4590587935
86	0.4577534422
87	0.455989042
88	0.4551550623
89	0.4536294285
90	0.4522467813
91	0.4498914407
92	0.4482555503
93	0.4469850157
94	0.4451476188
95	0.443534139
96	0.4420773439
97	0.4404078468
98	0.4385741569
99	0.4372871209
100	0.4360965641
101	0.4344012405
102	0.4326044975
103	0.4317692028
104	0.4304977278
105	0.4294417807
106	0.4275716699
107	0.4261540982
108	0.4247027494
109	0.4233318481
110	0.4218506076
111	0.4205037238
112	0.4185763273
113	0.4173673923
114	0.4158643257
115	0.4147112676
116	0.4134280603
117	0.4116178734
118	0.4100863148
119	0.4093159489
120	0.4080943001
121	0.4066522927
122	0.405005084
123	0.4034080827
124	0.4021769478
125	0.4012724533
126	0.3999145466
127	0.3990090969
128	0.3974476866
129	0.3959933667
130	0.3957068344
131	0.3946446109
132	0.3935492178
133	0.3920279167
134	0.3910128811
135	0.3898277859
136	0.3889799006
137	0.3881093993
138	0.38680264
139	0.3856333563
140	0.3844619362
141	0.3836737574
142	0.3825599104
143	0.3814154942
144	0.3803454966
145	0.379362795
146	0.3783303237
147	0.3772874276
148	0.3759663303
149	0.3747437317
150	0.373704257
151	0.3725049803
152	0.3712532505
153	0.3704879947
154	0.3695974735
155	0.3686023309
156	0.3673424827
157	0.366550459
158	0.3657066866
159	0.364746824
160	0.3639688878
161	0.3625555769
162	0.3617959176
163	0.3614533601
164	0.3604416296
165	0.3595040748
166	0.3584023995
167	0.3572333078
168	0.3560819912
169	0.3551279562
170	0.3540651847
171	0.353162957
172	0.3522050593
173	0.3510876386
174	0.3500608883
175	0.3490767448
176	0.3484214439
177	0.3471376792
178	0.3462857173
179	0.3455186333
180	0.3449128601
181	0.3438527199
182	0.3428598814
183	0.3420257486
184	0.3409982752
185	0.3397789559
186	0.3386644123
187	0.3375254764
188	0.3366623514
189	0.3357926662
190	0.3351255464
191	0.3342524303
192	0.3335437278
193	0.3329072667
194	0.332034403
195	0.3317539772
196	0.3311490464
197	0.3302568188
198	0.329509598
199	0.3286727833
200	0.3280370155
201	0.3272108944
202	0.3265650289
203	0.3258959633
204	0.3251249689
205	0.3244325919
206	0.323581256
207	0.3224527509
208	0.3216671059
209	0.3209107968
210	0.3204297761
211	0.3197719377
212	0.3190802395
213	0.3187120708
214	0.3180114188
215	0.3170315825
216	0.316490213
217	0.3155354556
218	0.3146106674
219	0.3134683692
220	0.3125650186
221	0.3120592673
222	0.3114692484
223	0.3112010192
224	0.3105114587
225	0.3099094058
226	0.3089497108
227	0.308102676
228	0.3073564226
229	0.3069992257
230	0.3062872743
231	0.3058280287
232	0.3050196114
233	0.3042507235
234	0.303765893
235	0.3033719127
236	0.3027422264
237	0.3019713627
238	0.3011096357
239	0.3005270718
240	0.2999684445
241	0.2990509264
242	0.2985304894
243	0.298023698
244	0.2975320399
245	0.2968561499
246	0.2963761879
247	0.2958022109
248	0.295293679
249	0.2949513198
250	0.2942388975
251	0.2934866717
252	0.2929915301
253	0.2923372626
254	0.2921057818
255	0.2913815919
256	0.2906042213
257	0.2900214138
258	0.2893445592
259	0.2886803887
260	0.2883572894
261	0.2878655216
262	0.2872052329
263	0.2862912487
264	0.2857428845
265	0.2852273607
266	0.2846321063
267	0.284097842
268	0.2835330628
269	0.2829943424
270	0.2824258682
271	0.2821905969
272	0.2815403463
273	0.281253336
274	0.2805404061
275	0.2799273586
276	0.2794475392
277	0.2790534221
278	0.2787148578
279	0.278001455
280	0.2772493127
281	0.2764870734
282	0.2760693797
283	0.2753498707
